,x,y,strategy,t_factor
649,652,1390,divDistBased,t1
650,652,1414,divDistBased,t1
651,652,1400,divDistBased,t1
652,652,1414,divDistBased,t1
653,652,1436,divDistBased,t1
654,652,752,divDistBased,t1
655,652,790,divDistBased,t1
656,652,1194,divDistBased,t1
657,652,752,divDistBased,t1
658,652,1326,divDistBased,t1
659,652,1436,divDistBased,t1
660,652,1410,divDistBased,t1
661,652,1414,divDistBased,t1
662,652,1436,divDistBased,t1
663,652,1006,divDistBased,t1
664,652,718,divDistBased,t1
665,652,615,divDistBased,t1
666,652,1174,divDistBased,t1
667,652,1390,divDistBased,t1
668,652,1400,divDistBased,t1
669,652,1410,divDistBased,t1
670,652,1414,divDistBased,t1
671,652,1400,divDistBased,t1
672,652,1264,divDistBased,t1
673,652,1400,divDistBased,t1
674,652,752,divDistBased,t1
675,652,1364,divDistBased,t1
676,652,1376,divDistBased,t1
677,652,1410,divDistBased,t1
678,652,1264,divDistBased,t1
679,652,1414,divDistBased,t1
680,652,1264,divDistBased,t1
681,652,1410,divDistBased,t1
682,652,1264,divDistBased,t1
683,652,1326,divDistBased,t1
684,652,1364,divDistBased,t1
685,652,1410,divDistBased,t1
686,652,1424,divDistBased,t1
687,652,1410,divDistBased,t1
688,652,1400,divDistBased,t1
689,652,1410,divDistBased,t1
690,652,1264,divDistBased,t1
691,652,1264,divDistBased,t1
692,652,1264,divDistBased,t1
693,652,1400,divDistBased,t1
694,652,1424,divDistBased,t1
695,652,1006,divDistBased,t1
696,652,752,divDistBased,t1
697,652,1264,divDistBased,t1
698,652,752,divDistBased,t1
699,652,1400,divDistBased,t1
700,745,1424,divDistBased,t1
701,745,752,divDistBased,t1
702,745,1400,divDistBased,t1
703,745,1436,divDistBased,t1
704,745,1306,divDistBased,t1
705,745,1404,divDistBased,t1
706,745,1194,divDistBased,t1
707,745,1264,divDistBased,t1
708,745,1390,divDistBased,t1
709,745,1414,divDistBased,t1
710,745,752,divDistBased,t1
711,745,1424,divDistBased,t1
712,745,1430,divDistBased,t1
713,745,1390,divDistBased,t1
714,745,1400,divDistBased,t1
715,745,980,divDistBased,t1
716,745,1400,divDistBased,t1
717,745,1306,divDistBased,t1
718,745,936,divDistBased,t1
719,745,1400,divDistBased,t1
720,745,1410,divDistBased,t1
721,745,1400,divDistBased,t1
722,745,1202,divDistBased,t1
723,745,1400,divDistBased,t1
724,745,1446,divDistBased,t1
725,745,1264,divDistBased,t1
726,745,1376,divDistBased,t1
727,745,1400,divDistBased,t1
728,745,1424,divDistBased,t1
729,745,1424,divDistBased,t1
730,745,1426,divDistBased,t1
731,745,980,divDistBased,t1
732,745,1382,divDistBased,t1
733,745,1416,divDistBased,t1
734,745,651,divDistBased,t1
735,745,1376,divDistBased,t1
736,745,1424,divDistBased,t1
737,745,1400,divDistBased,t1
738,745,1410,divDistBased,t1
739,745,1410,divDistBased,t1
740,745,980,divDistBased,t1
741,745,1188,divDistBased,t1
742,745,1390,divDistBased,t1
743,745,1424,divDistBased,t1
744,745,1424,divDistBased,t1
745,745,1424,divDistBased,t1
746,745,1570,divDistBased,t1
747,745,1324,divDistBased,t1
748,745,790,divDistBased,t1
749,745,1416,divDistBased,t1
750,745,1436,divDistBased,t1
751,745,1410,divDistBased,t1
752,745,1424,divDistBased,t1
753,745,1438,divDistBased,t1
754,745,1006,divDistBased,t1
755,745,974,divDistBased,t1
756,745,1202,divDistBased,t1
757,745,1264,divDistBased,t1
758,745,1416,divDistBased,t1
759,745,1444,divDistBased,t1
760,745,1424,divDistBased,t1
761,745,1424,divDistBased,t1
762,745,1438,divDistBased,t1
763,745,1246,divDistBased,t1
764,745,1264,divDistBased,t1
765,745,752,divDistBased,t1
766,745,1376,divDistBased,t1
767,745,1432,divDistBased,t1
768,745,1436,divDistBased,t1
769,745,1424,divDistBased,t1
770,745,1424,divDistBased,t1
771,745,1424,divDistBased,t1
772,745,1400,divDistBased,t1
773,745,1404,divDistBased,t1
774,745,1194,divDistBased,t1
775,745,1382,divDistBased,t1
776,745,1400,divDistBased,t1
777,745,1424,divDistBased,t1
778,745,1400,divDistBased,t1
779,745,1424,divDistBased,t1
780,745,1424,divDistBased,t1
781,745,1424,divDistBased,t1
782,745,1400,divDistBased,t1
783,745,1390,divDistBased,t1
784,745,1376,divDistBased,t1
785,745,1424,divDistBased,t1
786,745,1444,divDistBased,t1
787,745,1424,divDistBased,t1
788,745,1414,divDistBased,t1
789,745,1424,divDistBased,t1
790,745,1400,divDistBased,t1
791,745,1414,divDistBased,t1
792,745,1400,divDistBased,t1
793,745,1424,divDistBased,t1
794,745,1436,divDistBased,t1
795,745,1424,divDistBased,t1
796,745,1264,divDistBased,t1
797,745,1400,divDistBased,t1
